"ANSICODE","HYDROID","FULLNAME","MTFCC","ALAND","AWATER","INTPTLAT","INTPTLON"
NA,"1101751299514",NA,"H2030",0,916,"+37.1623771","-80.4096578"
NA,"1101751298972",NA,"H2030",0,382,"+37.1705773","-80.4260547"
NA,"1101751299219",NA,"H2030",0,897,"+37.2131611","-80.3581298"
NA,"1101751299088",NA,"H2030",0,1980,"+37.1708706","-80.5187755"
NA,"1101751298935",NA,"H2030",0,162,"+37.1370803","-80.4131536"
NA,"1101751299295",NA,"H2030",0,1150,"+37.1677872","-80.5292095"
NA,"1101751298985",NA,"H2030",0,644,"+37.1891532","-80.3506388"
NA,"1101751299496",NA,"H2030",0,2230,"+37.1826424","-80.2262369"
NA,"1101751299255",NA,"H2030",0,5747,"+37.1390139","-80.3628041"
NA,"1101751298960",NA,"H2030",0,243,"+37.1456505","-80.3408312"
NA,"1101751298906",NA,"H2030",0,147,"+37.2632353","-80.2662908"
NA,"1101751299394",NA,"H2030",0,10033,"+37.0482266","-80.5256259"
NA,"1101751299424",NA,"H2030",0,1279,"+37.0671318","-80.4753245"
NA,"1101751299137",NA,"H2030",0,303,"+37.0023150","-80.5230401"
NA,"1101751299474",NA,"H2030",0,1049,"+37.0903434","-80.4396781"
NA,"1101751299033",NA,"H2030",0,529,"+37.0701600","-80.3911332"
NA,"1101751299256",NA,"H2030",0,170,"+37.0652646","-80.3936027"
NA,"1101751299050",NA,"H2030",0,287,"+37.0863337","-80.5420145"
NA,"1101751299362",NA,"H2030",0,288,"+37.1022844","-80.5326798"
NA,"1101751299356",NA,"H2030",0,1476,"+37.1069070","-80.4518206"
NA,"1101751299029",NA,"H2030",0,94,"+37.0631860","-80.4551674"
NA,"1101751299282",NA,"H2030",0,446,"+37.0593709","-80.3873125"
NA,"1101751299194",NA,"H2030",0,309,"+37.0953682","-80.5229483"
NA,"1101751299366",NA,"H2030",0,252,"+37.0294781","-80.5079485"
NA,"1101751298929",NA,"H2030",0,1050,"+37.1446389","-80.4912479"
NA,"1106081531936","Little Riv","H3010",0,679849,"+37.0162769","-80.4310190"
NA,"1101751298882",NA,"H2030",0,313,"+37.0932928","-80.5274826"
NA,"1101751298924",NA,"H2030",0,169,"+37.1081132","-80.5331960"
NA,"1101751299350",NA,"H2030",0,1060,"+37.1189410","-80.4654748"
NA,"1101751299316",NA,"H2030",0,1162,"+37.0476169","-80.4886731"
NA,"1101751298885",NA,"H2030",0,262,"+37.0761108","-80.4580702"
NA,"1101751299515",NA,"H2030",0,203,"+37.1193078","-80.4745745"
NA,"1101751299500",NA,"H2030",0,457,"+37.0417984","-80.4935128"
NA,"1101751299258",NA,"H2030",0,497,"+37.0324565","-80.5080891"
NA,"1101751299435",NA,"H2030",0,1776,"+37.0950222","-80.3922683"
NA,"1101751298920",NA,"H2030",0,496,"+37.1305254","-80.4368909"
NA,"1101751298847",NA,"H2030",0,1251,"+37.0925579","-80.4508672"
NA,"1101751299291",NA,"H2030",0,336,"+37.1347694","-80.4155086"
NA,"1101751299121",NA,"H2030",0,1059,"+37.0484786","-80.5086357"
NA,"1101751298848",NA,"H2030",0,99,"+37.0622858","-80.3869409"
NA,"1101751299178",NA,"H2030",0,1184,"+37.1263234","-80.4603749"
NA,"1101751299241",NA,"H2030",0,535,"+37.0666117","-80.3844298"
NA,"1101751299353",NA,"H2030",0,1168,"+37.0829157","-80.4581577"
NA,"1101751299134",NA,"H2030",0,163,"+37.0102120","-80.5526865"
NA,"1101751298865",NA,"H2030",0,185,"+37.0311915","-80.4582403"
NA,"1101751298978",NA,"H2030",0,227,"+37.0637455","-80.4962311"
NA,"1101751299270",NA,"H2030",0,528,"+37.0286165","-80.5013646"
NA,"1101751299125",NA,"H2030",0,157,"+37.0863764","-80.5527252"
NA,"1101751299301",NA,"H2030",0,243,"+37.0758068","-80.5210309"
NA,"1101751299038",NA,"H2030",0,203,"+37.0538504","-80.5101099"
NA,"1101751299060",NA,"H2030",0,86,"+37.0711830","-80.4655235"
NA,"1101751299117",NA,"H2030",0,353,"+36.9974280","-80.4908139"
NA,"1101751298982",NA,"H2030",0,1319,"+37.0770627","-80.4695043"
NA,"1101751299321",NA,"H2030",0,569,"+37.1050561","-80.5342281"
NA,"1101751299524",NA,"H2030",0,257,"+37.1254244","-80.4375550"
NA,"1101751299493",NA,"H2030",0,5287,"+37.1449359","-80.4431667"
NA,"1101751299377",NA,"H2030",0,3022,"+37.1076822","-80.4489188"
NA,"1101751299450",NA,"H2030",0,1175,"+37.1111913","-80.4713500"
NA,"1101751299489",NA,"H2030",0,548,"+37.0809801","-80.5245115"
NA,"1101751299376",NA,"H2030",0,522,"+37.1089723","-80.4310652"
NA,"1101751299113",NA,"H2030",0,344,"+37.0681338","-80.5557869"
NA,"1101751299403",NA,"H2030",0,1331,"+37.2023575","-80.4836142"
NA,"1101751299492",NA,"H2030",0,838,"+37.1991757","-80.4359915"
NA,"1101751299105",NA,"H2030",0,524,"+37.1898334","-80.5910409"
NA,"1101751298903",NA,"H2030",0,3273,"+37.1649018","-80.5513945"
NA,"1101751299118",NA,"H2030",0,1275,"+37.2302771","-80.5501640"
NA,"1101751298907",NA,"H2030",0,463,"+37.1847647","-80.4278982"
NA,"1101751299111",NA,"H2030",0,1482,"+37.1772549","-80.5189696"
NA,"1101751298913",NA,"H2030",0,6385,"+37.1922630","-80.5438492"
NA,"1101751299176",NA,"H2030",0,321,"+37.1841749","-80.5163361"
NA,"1101751299030",NA,"H2030",0,503,"+37.1823180","-80.5154413"
NA,"1101751299080",NA,"H2030",0,505,"+37.1827375","-80.5284528"
NA,"1101751299054",NA,"H2030",0,1879,"+37.2091505","-80.4679528"
NA,"1101751299092",NA,"H2030",0,2516,"+37.2238648","-80.4306470"
NA,"1101751299410",NA,"H2030",0,2326,"+37.2381833","-80.4586079"
NA,"1101751299408",NA,"H2030",0,2991,"+37.2682500","-80.4114706"
NA,"1101751299289",NA,"H2030",0,329,"+37.2638211","-80.4185286"
NA,"1101751299294",NA,"H2030",0,70,"+37.2701559","-80.4062468"
NA,"1101751298981",NA,"H2030",0,799,"+37.2364434","-80.3646650"
NA,"1101751298849",NA,"H2030",0,84,"+37.2795183","-80.3768768"
NA,"1101751299096",NA,"H2030",0,80,"+37.2640675","-80.3765836"
NA,"1101751299223",NA,"H2030",0,1614,"+37.2465964","-80.3509078"
NA,"1101751299218",NA,"H2030",0,57,"+37.2728929","-80.3980615"
NA,"1101751298899",NA,"H2030",0,361,"+37.2851447","-80.3724880"
NA,"1101751299306",NA,"H2030",0,87,"+37.2827993","-80.3902870"
NA,"1101751299422",NA,"H2030",0,719,"+37.1553508","-80.3489732"
NA,"1101751298956",NA,"H2030",0,577,"+37.2060701","-80.3631501"
NA,"1101751299130",NA,"H2030",0,488,"+37.2007627","-80.3895393"
NA,"1101751299141",NA,"H2030",0,906,"+37.1403666","-80.4168432"
NA,"1101751299148",NA,"H2030",0,624,"+37.2014096","-80.3894581"
NA,"1101751299114",NA,"H2030",0,643,"+37.2172107","-80.3406441"
NA,"1101751299057",NA,"H2030",0,1355,"+37.1448869","-80.4351756"
NA,"1101751299508",NA,"H2030",0,1114,"+37.2250424","-80.3002497"
NA,"1101751298917",NA,"H2030",0,353,"+37.2219410","-80.2261126"
NA,"1101751298912",NA,"H2030",0,800,"+37.0959294","-80.2748092"
NA,"1101751299045",NA,"H2030",0,412,"+37.2408035","-80.2081523"
NA,"1101751299048",NA,"H2030",0,242,"+37.1497172","-80.3511632"
NA,"1101751299428",NA,"H2030",0,1412,"+37.1153446","-80.4071602"
NA,"1101751299372",NA,"H2030",0,1576,"+37.0360045","-80.4495121"
NA,"1101751299491",NA,"H2030",0,730,"+37.1069002","-80.4833564"
NA,"1101751299484",NA,"H2030",0,780,"+37.0770465","-80.4813945"
NA,"1101751299279",NA,"H2030",0,74,"+37.0054674","-80.5341080"
NA,"1101751299034",NA,"H2030",0,677,"+37.0780367","-80.4628804"
NA,"1101751298926",NA,"H2030",0,476,"+37.0966998","-80.5167276"
NA,"1101751299290",NA,"H2030",0,408,"+37.0659871","-80.3867646"
NA,"1101751298857",NA,"H2030",0,507,"+37.0085559","-80.5521365"
NA,"1101751299278",NA,"H2030",0,632,"+37.0836466","-80.5021321"
NA,"1101751299347",NA,"H2030",0,1487,"+37.1146810","-80.4424857"
NA,"1101751298871",NA,"H2030",0,791,"+37.1119721","-80.4696697"
NA,"1101751299003",NA,"H2030",0,2956,"+37.0436737","-80.5195200"
NA,"1101751299020",NA,"H2030",0,1938,"+37.0672687","-80.4433569"
NA,"1101751298877",NA,"H2030",0,2102,"+37.0941029","-80.4570849"
NA,"1101751298938",NA,"H2030",0,144,"+37.0735524","-80.4824793"
NA,"1101751299300",NA,"H2030",0,412,"+37.0312473","-80.4502861"
NA,"1101751299144",NA,"H2030",0,552,"+37.0937070","-80.5182621"
NA,"1101751299132",NA,"H2030",0,180,"+37.1046132","-80.5422113"
NA,"1101751299360",NA,"H2030",0,7213,"+37.0139553","-80.4602075"
NA,"1101751298863",NA,"H2030",0,246,"+37.1029913","-80.5005560"
NA,"1101751299200",NA,"H2030",0,931,"+37.1047064","-80.4444561"
NA,"1101751298874",NA,"H2030",0,2861,"+37.0575191","-80.4339029"
NA,"1101751299310",NA,"H2030",0,670,"+37.0969775","-80.4488579"
NA,"1101751299195",NA,"H2030",0,762,"+37.0729707","-80.3162015"
NA,"1101751299005",NA,"H2030",0,100,"+37.0887400","-80.5321692"
NA,"1101751298933",NA,"H2030",0,218,"+37.0883644","-80.5292228"
NA,"1101751299197",NA,"H2030",0,296,"+37.0972749","-80.4585089"
NA,"1101751298884",NA,"H2030",0,184,"+37.1480978","-80.5137775"
NA,"1101751299214",NA,"H2030",0,477,"+37.0951067","-80.5259985"
NA,"1101751299332",NA,"H2030",0,172,"+37.0965617","-80.5341528"
NA,"1101751299479",NA,"H2030",0,509,"+37.1096120","-80.4966722"
NA,"1101751299379",NA,"H2030",0,987,"+37.1185461","-80.4583860"
NA,"1101751299389",NA,"H2030",0,814,"+37.0758225","-80.4656559"
NA,"1101751299421",NA,"H2030",0,790,"+37.0960774","-80.4400709"
NA,"1101751299381",NA,"H2030",0,299,"+37.1157027","-80.4532750"
NA,"1101751299516",NA,"H2030",0,1595,"+37.1242443","-80.4297250"
NA,"1101751299504",NA,"H2030",0,557,"+37.0583843","-80.4349563"
NA,"1101751299396",NA,"H2030",0,3183,"+37.1974418","-80.4588930"
NA,"1101751299274",NA,"H2030",0,497,"+37.2195092","-80.4968409"
NA,"1101751299343",NA,"H2030",0,247,"+37.2146848","-80.5711669"
NA,"1101751298886",NA,"H2030",0,190,"+37.2110835","-80.5612221"
NA,"1101751299127",NA,"H2030",0,371,"+37.1880751","-80.5845052"
NA,"1101751299323",NA,"H2030",0,719,"+37.2133662","-80.5364954"
NA,"1101751299318",NA,"H2030",0,5137,"+37.1926947","-80.5436532"
NA,"1101751299265",NA,"H2030",0,547,"+37.1882321","-80.5529907"
NA,"1101751299071",NA,"H2030",0,1309,"+37.1831596","-80.5157999"
NA,"1101751299299",NA,"H2030",0,2495,"+37.1820437","-80.5595146"
NA,"1101751298860",NA,"H2030",0,911,"+37.1802215","-80.4201298"
NA,"1101751298984",NA,"H2030",0,1572,"+37.2123549","-80.5427857"
NA,"1101751299022",NA,"H2030",0,241,"+37.2190675","-80.5636800"
NA,"1101751299237",NA,"H2030",0,1824,"+37.1989157","-80.4089558"
NA,"1101751299103",NA,"H2030",0,2220,"+37.2099330","-80.5725992"
